Cement (component 1)(kg in a m^3 mixture),Blast Furnace Slag (component 2)(kg in a m^3 mixture),Fly Ash (component 3)(kg in a m^3 mixture),Water  (component 4)(kg in a m^3 mixture),Superplasticizer (component 5)(kg in a m^3 mixture),Coarse Aggregate  (component 6)(kg in a m^3 mixture),Fine Aggregate (component 7)(kg in a m^3 mixture),Age (day),"Concrete compressive strength(MPa, megapascals) "
173.54,50.05,173.53,164.77,6.47,1006.2,793.5,56,53.77223324
531.3,0,0,141.8,28.2,852.1,893.7,28,56.3991368
145,0,179,202,8,824,869,28,10.53519328
212,141.3,0,203.5,0,973.4,750,7,15.0305768
325,0,0,184,0,1063,783,7,17.54026944
346.169412850299,,,209.784490931548,0,996.915963264816,759.534617245678,3,15.700435432724
389.9,189,0,145.9,22,944.7,755.8,3,40.59634688
359.895218674962,,,151.194844127243,12.8604990193739,1132.99301457833,647.553013728766,28,61.1822394842145
389.9,189,0,145.9,22,944.7,755.8,91,82.5992248
218.23,54.64,123.78,140.75,11.91,1075.7,792.67,100,63.52831864
393,0,0,192,0,940.6,785.6,3,19.199148696
251.37,0,118.27,188.45,5.75,1028.4,757.73,3,17.22311048
155,0,143,193,9,1047,697,28,12.45883132
164.2,0,200.1,181.2,12.6,849.3,846,28,15.091250688
485,0,0,146,0,1120,800,28,71.98818916
182.04,45.21,121.97,170.21,8.19,1059.4,780.65,28,31.2677366
379.5,151.2,0,153.9,15.9,1134.3,605,28,52.20022796
290.35,0,96.18,168.08,9.41,961.18,865,14,34.67374804
255,0,0,192,0,889.8,945,90,21.859147104
252.31,0,98.75,146.25,14.17,987.76,889.01,28,50.60064364
475,118.8,0,181.1,8.9,852.1,781.5,56,72.29845336
480,0,0,192,0,936.2,712.2,90,54.315540328
192,288,0,192,0,929.8,716.1,28,39.321505756
314,145.3,113.2,178.9,8,869.1,690.2,28,46.234192132
439,177,0,186,11.1,884.9,707.9,28,65.99664272
275.07,0,121.35,159.48,9.9,1053.6,777.5,100,58.60546
166,260,0,183,13,859,827,28,37.91428524
425,106.3,0,153.5,16.5,852.1,887.1,91,65.19685056
427.5,47.5,0,228,0,932,594,28,37.427515184
350,0,0,186,0,1050,770,7,20.27748916
233.81,0,94.58,197.89,4.567,947.04,852.16,100,34.55653712
192,288,0,192,0,929.8,716.1,3,12.788400848
331,0,0,192,0,1025,821,120,39.38286912
165,128.5,132.1,175.06,8.08,1005.8,746.6,28,46.38794528
310,0,0,192,0,970,850,360,38.11423328
425,106.3,0,153.5,16.5,852.1,887.1,91,65.19685056
310,0,0,192,0,1012,830,7,17.24379476
313.3,262.2,0,175.5,8.6,1046.9,611.8,56,64.90037588
318.8,212.5,0,155.7,14.3,852.1,880.4,91,68.09954452
380,95,0,228,0,932,594,365,43.698299404
349,0,0,192,0,1056,809,90,40.65839972
203.5,135.7,0,185.7,0,1076.2,759.3,7,11.957582268
262,111,86,195,5,895,733,28,33.7153764
387,20,94,157,14.32,938,845,7,36.83870268
339.2,0,0,185.7,0,1069.2,754.3,28,31.899986092
425,106.3,0,151.4,18.6,936,803.7,3,36.3009114
296,0,0,192,0,1085,765,7,14.2032056
289,0,0,192,0,913.2,895.3,90,32.068218236
213.76,98.06,24.52,181.74,6.65,1066,785.52,100,49.97322048
469,117.2,0,137.8,32.2,852.1,840.5,56,69.29923276
331,170,0,195,8,811,802,28,56.61287436
213.76,98.06,24.52,181.74,6.65,1066,785.52,3,13.18278112
166.09,0,163.27,176.46,4.49,1058.6,780.09,14,25.48303296
190.34,0,125.18,161.85,9.88,1088.1,802.59,3,9.4458212
540,0,0,173,0,1125,613,180,71.62276688
362.6,189,0,164.9,11.6,944.7,755.8,28,71.29871316
,11.6574392690414,,,7.29880064547119,996.967312791663,820.615131274806,26.1593516943619,24.4017711710932
238.1,0,0,185.7,0,1118.8,789.3,7,10.335934716
500,0,0,200,0,1125,613,28,44.0919902
222.36,0,96.67,189.29,4.46,967.08,870.32,14,24.44881896
427.5,47.5,0,228,0,932,594,365,43.698299404
379.5,151.2,0,153.9,15.9,1134.3,605,7,47.09810556
183.9,122.6,0,203.5,0,959.2,800,90,32.53292506
359,19,141,154,10.91,942,801,3,23.639177145812
500,0,0,200,0,1125,613,270,55.15808
446,24,79,162,11.64,967,712,56,55.25460664
213.5,0,174.24,159.21,11.66,1043.6,771.9,100,52.95865156
380,0,0,228,0,932,670,365,52.516697444
393,0,0,192,0,940.6,785.6,90,48.846616696
339,0,0,197,0,968,781,3,13.22414968
261,100,78,201,9,864,761,28,32.39847724
349,0,0,192,0,1047,806,360,42.1269836
214.9,53.8,121.89,155.63,9.61,1014.3,780.58,28,52.20022796
305.3,203.5,0,203.5,0,965.4,631,28,43.377003588
451,0,0,165,11.25,1030,745,28,78.80021204
250,0,95.69,191.84,5.33,948.9,857.2,56,39.64487
212,0,124.78,159,7.84,1085.4,799.54,3,19.51906556
277,0,0,191,0,968,856,3,11.36256448
238,0,0,185,0,1118,789,28,17.54026944
251.37,0,118.27,192.94,5.75,1043.6,754.3,28,33.27411176
200,200,0,190,0,1145,660,28,49.24927068
379.5,151.2,0,153.9,15.9,1134.3,605,91,56.49566344
380,95,0,228,0,932,594,90,40.563252032
295.8,0,0,185.7,0,1091.4,769.3,28,25.216895224
102,153,0,192,0,887,942,3,4.565020596
266,114,0,228,0,932,670,270,51.732763232
231.75,0,121.62,173.96,6.72,1056.4,778.45,56,42.69924868
252.1,97.1,75.6,193.8,8.3,835.5,821.4,28,33.399596392
251.37,0,118.27,188.45,5.75,1028.4,757.73,100,43.58177796
145.7,172.6,0,181.9,3.4,985.8,816.8,28,23.744174488
214.9,53.8,121.89,155.63,9.61,1014.3,780.58,100,56.63355864
200,133,0,192,0,965.4,806.2,90,43.25082948
108.3,162.4,0,203.5,0,938.2,849,28,20.593958644
261.9,110.5,86.1,195.4,5,895.2,732.6,28,33.71882378
333,0,0,192,0,931.2,842.6,7,23.404952296
133,200,0,192,0,927.4,839.2,3,6.883728384
540,0,0,173,0,1125,613,90,69.65776028
194.68,0,100.52,170.17,7.48,998,901.8,56,43.38872468
334,17.6,158,189,15.3,967,633,28,44.32641204
143.7,170.2,132.6,191.6,8.5,814.1,805.3,28,29.870858224
385,0,0,186,0,966,763,28,31.35047372
376,0,0,214.6,0,1003.5,762.36,14,25.62092816
167,75.4,167,164.03,7.91,1007.3,770.1,3,15.52010476
375,93.8,0,126.6,23.4,852.1,992.6,3,28.99936056
297.8,137.2,106.9,201.3,6,878.4,655.3,28,53.524711356
491,26,123,201,3.93,822,699,28,57.915984
160,188,146,203,11,829,710,28,32.83974188
362.6,189,0,164.9,11.6,944.7,755.8,7,22.89749796
194.68,0,100.52,170.17,7.48,998,901.8,3,12.17614616
439,177,0,186,11.1,884.9,707.9,3,39.300132
,,,,8.67233891804612,876.19060340848,748.99756228733,18.6262349328042,38.4824636290116
272.8,105.1,81.8,209.7,9,904,679.7,28,37.171030112
183.9,122.6,0,203.5,0,959.2,800,7,10.787541496
200,133,0,192,0,965.4,806.2,28,30.439675924
198.6,132.4,0,192,0,978.4,825.5,28,28.021683592
516,0,0,162,8.26,801,802,28,41.36856
155,183,0,193,9,1047,697,28,18.28490352
135,0,166,180,10,961,805,28,13.29309728
237.5,237.5,0,228,0,932,594,365,38.995383608
475,118.8,0,181.1,8.9,852.1,781.5,91,74.19451236
213.5,0,174.24,159.21,11.66,1043.6,771.9,3,15.60973664
339.2,0,0,185.7,0,1069.2,754.3,7,21.179323768
156,178,187,221,7,854,614,28,29.41304616
173.81,93.37,159.9,172.34,9.73,1007.2,746.6,14,29.55094136
289,0,0,192,0,913.2,895.3,7,14.596896396
321.3,164.2,0,190.5,4.6,870,774,28,57.218234288
147.738062093684,16.8011073066143,,175.020357927252,8.81502679735568,976.173027977202,801.073174359732,52.1694250964281,27.6502597040591
296,0,0,192,0,1085,765,28,21.6495464
250.2,166.8,0,203.5,0,977.6,694.1,3,9.731264264
212.52,0,100.37,159.32,8.71,1007.8,903.59,56,42.54756396
275.07,0,121.35,159.48,9.9,1053.6,777.5,14,38.76923548
380,0,0,228,0,932,670,90,52.908319812
310,0,0,192,0,1012,830,3,11.85209244
252.31,0,98.75,146.25,14.17,987.76,889.01,3,21.78054684
265,111,86,195,6,833,790,28,41.540929
166.09,0,163.27,176.46,4.49,1058.6,780.09,56,28.62704352
362.6,189,0,164.9,11.6,944.7,755.8,91,79.29663476
469,117.2,0,137.8,32.2,852.1,840.5,7,54.89607912
284,15,141,179,5.46,842,801,7,24.13166
139.6,209.4,0,192,0,1047,806.9,3,8.06342182
277.19,97.82,24.46,160.7,11.19,1061.7,782.46,28,63.14221208
385,0,0,186,0,966,763,3,14.69962832
145.4,0,178.9,201.7,7.8,824,868.7,28,10.535882756
393,0,0,192,0,940,758,3,19.10537996
297.16,0,117.54,174.8,9.52,1022.8,753.45,14,36.9903874
251.37,0,118.27,192.94,5.75,1043.6,754.3,14,20.72564856
225,0,0,181,0,1113,833,28,17.3403214
326.5,0,137.9,199,10.8,801.1,792.5,28,38.630650804
190.68,0,125.4,162.14,7.77,1090,804.01,100,40.56876784
310,0,0,192,0,1012,830,28,27.82725136
374,189.2,0,170.1,10.1,926.1,756.7,7,46.20178676
397,0,0,186,0,1040,734,28,36.93522932
190,190,0,228,0,932,670,28,40.856968808
153,102,0,192,0,888,943.1,7,8.374375496
181.38,0,167.01,169.59,7.56,1055.6,777.8,3,13.62404576
155,184,143,194,9,880,699,28,28.98557104
178.03,129.8,118.6,179.94,3.57,1007.3,746.8,28,39.1622368
323.7,282.8,0,183.8,10.3,942.7,659.9,56,80.19984832
475,118.8,0,181.1,8.9,852.1,781.5,3,37.79707432
304,140,0,214,6,895,722,28,33.41890172
290.2,193.5,0,185.7,0,998.2,704.3,7,21.859147104
165,128.5,132.1,175.06,8.08,1005.8,746.6,56,53.72396992
222.36,0,96.67,189.29,4.46,967.08,870.32,100,40.7135578
231.75,0,121.62,173.96,6.72,1056.4,778.45,28,33.72916592
213.76,98.06,24.52,181.74,6.65,1066,785.52,28,40.2309246
387,20,94,157,11.61,938,845,28,46.68441996
,0,67.1768602698478,170.872653695208,5.48043606651416,1079.22454240223,780.401733895723,20.2498883907881,30.2525121591662
239.6,359.4,0,185.7,0,941.6,664.3,28,39.435269296
313.3,262.2,0,175.5,8.6,1046.9,611.8,28,59.79825348
144,15,195,176,6,1021,709,28,15.340841
424,22,132,168,8.92,822,750,3,32.1098822847293
145.9,230.5,0,202.5,3.4,827,871.8,28,32.720462532
288,192,0,192,0,932,717.8,28,38.804398756
425,106.3,0,153.5,16.5,852.1,887.1,28,60.2946762
374,189.2,0,170.1,10.1,926.1,756.7,28,61.09446836
446,24,79,162,11.64,967,712,28,51.021224
155.6,243.5,0,180.3,10.7,1022,697.7,28,37.363393916
198.6,132.4,0,192,0,978.4,825.5,3,9.131420144
339,0,0,197,0,968,781,180,36.44570136
289,133.7,0,194.9,5.5,924.1,760.1,28,46.247292176
401.8,94.7,0,147.4,11.4,946.8,852.1,7,54.09628696
300,0,0,184,0,1075,795,7,15.57526284
218.85,0,124.13,158.49,11.33,1078.7,794.91,3,15.340841
212,0,124.78,159,7.84,1085.4,799.54,100,47.8151606
349,0,0,192,0,1047,806.9,3,15.049192652
213.5,0,174.24,154.61,11.66,1052.3,775.48,3,17.36790044
194.68,0,100.52,165.62,7.48,1006.4,905.9,14,24.98661024
531.3,0,0,141.8,28.2,852.1,893.7,7,46.89815752
152.7,144.7,0,178.1,8,999.7,822.2,28,19.009542796
266,112,87,178,10,910,745,28,39.41734292
349,0,0,192,0,1047,806,28,32.72253096
151,0,184,167,12,991,772,28,15.56836808
212.57,0,100.39,159.35,10.37,1003.8,903.79,100,47.73931824
133.1,210.2,0,195.7,3.1,949.4,795.3,28,28.937997196
194.68,0,100.52,170.17,7.48,998,901.8,28,37.2661778
382,0,0,186,0,1047,739,28,37.42475728
277.05,0,97.39,160.6,11.83,973.9,875.61,3,23.13881456
297.16,0,117.54,174.8,9.52,1022.8,753.45,28,47.401475
157,236,0,192,0,935.4,781.2,7,16.889404096
295.71,0,95.64,171.54,8.87,955.14,859.2,100,52.04164848
425,106.3,0,153.5,16.5,852.1,887.1,56,64.30053176
388.6,97.1,0,157.9,12.1,852.1,925.7,28,50.69717028
313,161,0,178,10,917,759,28,52.44154456
236.9,91.7,71.5,246.9,6,852.9,695.4,28,28.629801424
332.5,142.5,0,228,0,932,594,180,39.77931782
213.5,0,174.24,154.61,11.66,1052.3,775.48,100,59.30183076
236.245094886216,0,,181.105444919346,4.89455508065363,1044.79459497151,777.038512990557,49.1499470917448,32.6694646259586
425,106.3,0,151.4,18.6,936,803.7,56,64.90037588
251.37,0,118.27,192.94,5.75,1043.6,754.3,100,40.14818748
102,153,0,192,0,887,942,90,25.460969728
234,156,0,189,5.85,981,760,28,39.300132
141.3,212,0,203.5,0,971.8,748.5,3,4.827710952
249.1,0,98.75,158.11,12.8,987.76,889.01,14,28.6822016
475,0,0,228,0,932,594,180,42.620648416
164.6,0,150.4,181.6,11.7,1023.3,728.9,28,18.033934256
150,237,0,174,12,1069,675,28,37.43165204
136,162,126,172,10,923,764,28,29.06830816
165,128.5,132.1,175.06,8.08,1005.8,746.6,3,19.41564416
480,0,0,192,0,936.2,712.2,28,43.942373908
192,288,0,192,0,929.8,716.1,7,21.48062478
475,0,0,228,0,932,594,90,42.229026048
362.6,189,0,164.9,11.6,944.7,755.8,91,79.29663476
238.05,0,94.11,186.66,7,949.91,847.01,14,25.68987576
153.1,145,113,178.5,8,1001.9,688.7,28,25.559564796
385,0,0,186,0,966,763,7,23.22155168
,,,,22.5084053504586,861.964694648131,984.651852825029,54.9331346073864,58.6547491170728
155.2,183.9,143.2,193.8,9.2,879.6,698.5,28,28.991086848
379.5,151.2,0,153.9,15.9,1134.3,605,56,54.89607912
375,0,0,186,0,1038,758,28,38.21075992
157,236,0,192,0,935.4,781.2,28,33.664355176
181.38,0,167.01,169.59,7.56,1055.6,777.8,56,35.57006684
307,0,0,193,0,968,812,90,32.922479
133,200,0,192,0,927.4,839.2,7,13.664035368
153,102,0,192,0,888,943.1,28,17.96429718
381.4,0,0,185.7,0,1104.6,784.3,28,22.489328168
165,0,150,182,12,1023,729,28,18.0297974
342,38,0,228,0,932,670,365,56.141962252
318.8,212.5,0,155.7,14.3,852.1,880.4,28,55.49592324
249.1,0,98.75,158.11,12.8,987.76,889.01,56,42.03045696
212.52,0,100.37,159.32,8.71,1007.8,903.59,14,26.31040416
540,0,0,173,0,1125,613,14,59.76377968
,,,,0.83486459953852,940.972804712196,684.602229158305,28,38.631104669625
233.81,0,94.58,197.89,4.567,947.04,852.16,14,22.13907436
337.9,189,0,174.9,9.5,944.7,755.8,7,35.10122316
,,,,0,1024.89169330398,723.159356953174,16.3023248008332,21.5464181928604
116,173,0,192,0,909.8,891.9,3,6.280436884
236,0,0,194,0,968,885,14,12.83804312
439,177,0,186,11.1,884.9,707.9,91,73.29819356
290.35,0,96.18,168.08,9.41,961.18,865,28,34.73580088
160,250,0,168,12,1049,688,28,39.45181672
,0,0.923228626776091,,0.0572048359653128,1124.74232055872,614.40626714514,178.777863221333,50.8211990911663
522,0,0,146,0,896,896,7,50.51101176
296,0,0,192,0,1085,765,90,29.39236188
350,0,0,203,0,974,775,28,27.3377234
202,11,141,206,1.72,942,801,7,15.0699754305414
218.85,0,124.13,158.49,11.33,1078.7,794.91,56,37.2661778
427.5,47.5,0,228,0,932,594,7,35.076402024
446,24,79,162,11.64,967,712,3,25.02108404
362.6,189,0,164.9,11.6,944.7,755.8,56,77.29715436
156,243,0,180,11,1022,698,28,37.36270444
531.3,0,0,141.8,28.2,852.1,893.7,91,59.19840936
139.6,209.4,0,192,0,1047,806.9,90,39.358047984
424,22,132,178,8.48,822,750,56,65.697213145812
237.5,237.5,0,228,0,932,594,7,26.258003984
233.81,0,94.58,197.89,4.567,947.04,852.16,28,22.83544512
259.9,100.6,78.4,170.6,10.4,935.7,762.9,28,49.77327244
202,11,141,206,1.72,942,801,28,21.96670536
252,0,0,185,0,1111,784,7,13.71367764
331,0,0,192,0,879,825,3,13.52062436
446,24,79,162,11.64,967,712,7,39.300132
251.37,0,118.27,188.45,6.35,1028.4,757.73,100,44.20920112
322,0,0,203,0,974,800,14,20.77391188
500,0,0,200,0,1125,613,14,36.93522932
167.95,42.08,163.83,121.75,5.72,1058.7,780.11,14,17.8229546
380,95,0,228,0,932,594,270,41.15137506
273,0,90,199,11,931,762,28,32.23989776
173.54,50.05,173.53,164.77,6.47,1006.2,793.5,28,38.20386516
,20.481673758436,,,10.5874340660654,967.011727754139,735.209225440184,17.2199018929879,27.3215524660359
214.9,53.8,121.89,155.63,9.61,1014.3,780.58,3,18.01600788
213.72,98.05,24.51,181.71,6.86,1065.8,785.38,3,17.9953236
332.5,142.5,0,228,0,932,594,90,37.721921436
288,192,0,192,0,932,717.8,3,16.10960674
309.100337042916,146.521708899969,,178.579157864913,7.81830341492912,1001.31409539136,690.351368351465,28,40.7979531761962
376,0,0,214.6,0,1003.5,762.36,3,16.27852836
194.68,0,100.52,170.17,7.48,998,901.8,100,44.27814872
,34.5781812905256,0,,0,939.203828862051,684.407657724103,245.957221172904,51.1731433995299
236,157,0,192,0,972.6,749.1,90,47.782065752
266.2,112.3,87.5,177.9,10.4,909.7,744.5,28,39.421479776
150,236.8,0,173.8,11.9,1069.3,674.8,28,37.43165204
162,190,148,179,19,838,741,28,33.75674496
194.68,0,100.52,165.62,7.48,1006.4,905.9,3,12.45193656
148.1,0,182.1,181.4,15,838.9,884.3,28,15.526310044
154.8,0,142.8,193.3,9.1,877.2,867.7,28,9.738159024
491,26,123,210,3.93,882,699,56,59.5904257152707
390.294918824556,,33.316877928426,,14.6953357788769,859.290892819552,842.927372679895,12.8304536374745,42.1584240561595
299.8,0,119.8,211.5,9.9,878.2,727.6,28,23.835874796
203.5,135.7,0,185.7,0,1076.2,759.3,28,22.629981272
362.6,189,0,164.9,11.6,944.7,755.8,56,77.29715436
102,153,0,192,0,887,942,28,17.275510656
325.6,166.4,0,174,8.9,881.6,790,28,61.23581094
374,189.2,0,170.1,10.1,926.1,756.7,91,64.90037588
122.6,183.9,0,203.5,0,958.2,800.1,3,3.31982694
339,0,0,185,0,1060,754,28,31.6469484
362.6,189,0,164.9,11.6,944.7,755.8,56,77.29715436
312.7,144.7,0,127.3,8,999.7,822.2,28,44.523602176
540,0,0,173,0,1125,613,3,41.63745564
264.5,111,86.5,195.5,5.9,832.6,790.4,28,41.542307952
362.6,189,0,164.9,11.6,944.7,755.8,7,55.89581932
167.95,42.08,163.83,121.75,5.72,1058.7,780.11,28,24.24197616
331,0,0,192,0,978,825,28,31.44700036
425,106.3,0,153.5,16.5,852.1,887.1,7,49.20100736
178.03,129.8,118.6,179.94,3.57,1007.3,746.8,14,34.23937816
165,0.02,143.57,163.81,0,1005.6,900.9,14,16.87837248
166,259.7,0,183.2,12.7,858.8,826.8,28,37.917043144
381.4,0,0,185.7,0,1104.6,784.3,7,14.54104884
158,0,195,220,11,898,713,28,8.53571288
173,116,0,192,0,946.8,856.8,3,6.940954892
425,106.3,0,151.4,18.6,936,803.7,28,61.79773388
304,76,0,228,0,932,670,90,49.185149412
401.8,94.7,0,147.4,11.4,946.8,852.1,56,73.69808964
356,119,0,160,9.03,1061,657,28,58.99846132
,111.539068893508,0,,5.35387530688837,1028.50778219624,766.645808868488,14.1539068893508,24.165882631635
212.07,0,121.62,180.31,5.69,1057.6,779.32,56,34.20490436
305.3,203.5,0,203.5,0,965.4,631,7,25.893960656
144.8,0,133.6,180.8,11.1,979.5,811.5,28,13.202086448
149.5,236,0,175.8,12.6,846.8,892.7,28,32.96384756
266,114,0,228,0,932,670,28,45.854290856
313,0,0,178,8,1000,822,28,25.0969264
237.5,237.5,0,228,0,932,594,28,30.079769452
173.81,93.37,159.9,172.34,9.73,1007.2,746.6,56,48.9872698
183.9,122.6,0,203.5,0,959.2,800,3,4.903553312
250,0,95.69,187.42,5.53,956.86,861.17,100,42.34761592
290.35,0,96.18,168.08,9.41,961.18,865,100,48.97348028
298,0,107,186,6,879,815,28,42.63719584
228,342.1,0,185.7,0,955.8,674.3,28,39.699338604
307,0,0,193,0,968,812,3,12.54156844
310,0,0,192,0,970,850,7,14.98920824
322,0,0,203,0,974,800,28,25.17966352
310,142.8,0,167.9,10,914.3,804,28,45.304778484
212.57,0,100.39,159.35,10.37,1003.8,903.79,56,44.39535964
236,0,0,193,0,968,885,365,25.08313688
168.88,42.22,124.25,158.33,10.83,1080.8,796.15,56,39.14844728
190.34,0,125.18,166.61,9.88,1079,798.9,3,12.5484632
318.8,212.5,0,155.7,14.3,852.1,880.4,56,66.10006412
336,0,0,182,3,986,817,28,44.86420332
295,0,0,185,0,1069,769,7,14.79615496
400,0,0,187,0,1025,745,7,30.14389072
317.9,0,126.5,209.7,5.7,860.5,736.6,28,40.06200298
393,0,0,192,0,940.6,785.6,7,27.742445812
144,170,133,192,8,814,805,28,29.86810032
387,20,94,157,14.32,938,845,3,22.752708
250.2,166.8,0,203.5,0,977.6,694.1,28,36.964187312
388.6,97.1,0,157.9,12.1,852.1,925.7,56,55.19944856
425,106.3,0,153.5,16.5,852.1,887.1,56,64.30053176
302,0,0,203,0,974,817,28,21.7529678
213.74,0,174.74,154.79,10.16,1053.5,776.35,14,33.72916592
321,164,0,190,5,870,774,28,57.21271848
279.8,128.9,100.4,172.4,9.5,825.1,804.9,28,52.826961644
108.3,162.4,0,203.5,0,938.2,849,90,29.231713972
349,0,0,192,0,1047,806,3,14.98920824
213.74,0,174.74,154.79,10.16,1053.5,776.35,100,50.07664188
173.54,50.05,173.53,164.77,6.47,1006.2,793.5,100,56.06129356
252.31,0,98.75,146.25,14.17,987.76,889.01,14,42.29245784
222.36,0,96.67,189.29,4.46,967.08,870.32,28,24.8900836
425,106.3,0,153.5,16.5,852.1,887.1,28,60.2946762
143.8,136.3,106.2,178.1,7.5,941.5,774.3,28,26.147687824
236,0,0,194,0,968,885,90,21.94602108
375,93.8,0,126.6,23.4,852.1,992.6,56,60.19814956
540,0,0,173,0,1125,613,7,52.61391356
,,21.7225520206233,,1.61644139588403,948.927972109939,807.261875981767,17.5889877537857,22.6159547316657
194.68,0,100.52,165.62,7.48,1006.4,905.9,56,33.96358776
236,0,0,193,0,968,885,180,24.10408096
251.37,0,118.27,188.45,6.35,1028.4,757.73,3,13.12072828
182.04,45.21,121.97,170.21,8.19,1059.4,780.65,100,48.67011084
153.1,145,113,178.5,8,867.2,824,28,26.233182848
250,180,95,159,9.45,860,800,28,67.86512268
469,117.2,0,137.8,32.2,852.1,840.5,28,66.89985628
337.9,189,0,174.9,9.5,944.7,755.8,91,67.79617508
190.68,0,125.4,162.14,7.77,1090,804.01,56,35.34253976
167,75.4,167,164.03,7.91,1007.3,770.1,28,41.40992856
144,0,175,158,18,943,844,28,15.41668336
238.05,0,94.11,186.66,7,949.91,847.01,28,30.2335226
250,0,95.69,191.84,5.33,948.9,857.2,3,8.48744956
148,0,137,158,16,1002,830,28,17.95395504
237,92,71,247,6,853,695,28,28.62704352
148.5,139.4,108.6,192.7,6.1,892.4,780,28,23.696600644
296,0,107,221,11,819,778,28,31.41942132
160.2,188,146.4,203.2,11.3,828.7,709.7,28,35.314271244
362.6,189,0,164.9,11.6,944.7,755.8,28,71.29871316
375,0,0,186,0,1038,758,7,26.0621928
285,190,0,163,7.6,1031,685,28,53.57917996
143,169,143,191,8,967,643,28,29.72331036
152,0,112,184,8,992,816,28,12.17614616
349,0,0,192,0,1056,809,120,40.85834776
349.286113715158,,,170.317512287075,9.28106485128874,972.747120807258,757.639155462771,7.99770506187771,32.5720994253674
166.09,0,163.27,176.46,4.49,1058.6,780.09,3,10.76272036
250,0,0,182,0,1100,820,7,12.73462172
540,0,0,162,2.5,1055,676,28,61.88736576
322,149,0,186,8,951,709,28,52.42086028
148,175,0,171,2,1000,828,28,26.91714304
425,106.3,0,153.5,16.5,852.1,887.1,3,33.39821744
307,0,0,193,0,968,812,28,27.53077668
149,117.6,91.7,182.9,7.1,953.4,780.3,28,23.524231644
276,116,90,180,9,870,768,28,44.27814872
528,0,0,185,6.86,920,720,28,56.83350668
,,,,6.34078535050597,1054.21306270031,782.347864168748,26.2566552065537,24.485630047878
382,0,0,185,0,1047,739,7,24.00065956
424,22,132,168,8.92,822,750,28,72.09850532
212,0,124.78,159,7.84,1085.4,799.54,56,45.08483564
154,174,185,228,7,845,612,28,24.3385028
250,0,95.69,191.84,5.33,948.9,857.2,28,27.22051248
387,20,94,157,11.61,938,845,56,61.45989064
273,105,82,210,9,904,680,28,37.16965116
439,177,0,186,11.1,884.9,707.9,7,56.09576736
212,141.3,0,203.5,0,973.4,750,3,6.8085755
213.72,98.05,24.51,181.71,6.86,1065.8,785.38,56,50.77301264
146.5,114.6,89.3,201.9,8.8,860,829.5,28,19.98790924
236,0,0,194,0,968,885,28,18.41590396
236,157,0,192,0,972.6,749.1,7,20.416073836
218.85,0,124.13,158.49,11.33,1078.7,794.91,100,46.2293658
480,0,0,192,0,936,721,3,24.39366088
133,200,0,192,0,927.4,839.2,28,27.874825204
336.5,0,0,181.9,3.4,985.8,816.8,28,44.868340176
213.72,98.05,24.51,181.71,6.86,1065.8,785.38,100,53.90323368
525,0,0,189,0,1125,613,28,55.94408264
260,101,78,171,10,936,763,28,49.77327244
166.8,250.2,0,203.5,0,975.6,692.6,7,15.748321316
251.81,0,99.94,146.14,12.35,1006,899.76,56,44.14025352
141.3,212,0,203.5,0,971.8,748.5,28,29.89223198
172.38,13.61,172.37,156.76,4.14,1006.3,856.4,3,21.29101888
139.7,163.9,127.7,236.7,5.8,868.6,655.6,28,35.22532884
173,116,0,192,0,946.8,856.8,90,32.102692036
277.19,97.82,24.46,160.7,11.19,1061.7,782.46,100,66.9481196
212.52,0,100.37,159.32,8.71,1007.8,903.59,100,42.919881
281,0,0,186,0,1104,774,7,14.49968028
200,0,0,180,0,1125,845,7,7.83934212
325,0,0,184,0,1063,783,28,30.57136584
251.37,0,118.27,188.45,6.35,1028.4,757.73,56,36.63875464
376,0,0,214.6,0,1003.5,762.36,28,31.97100212
516,0,0,162,8.2,801,802,28,41.36856
167.95,42.08,163.83,121.75,5.72,1058.7,780.11,3,7.74971024
221.701685204637,0,,169.014532876109,9.774306247204,1062.50003081351,785.556163709504,6.22953133543352,19.7244595729264
162,214,164,202,10,820,680,28,30.6472082
446,24,79,162,11.64,967,712,28,44.42293868
213.74,0,174.74,154.79,10.16,1053.5,776.35,56,46.6430514
491,26,123,201,3.93,822,699,7,37.92118
400,0,0,187,0,1025,745,28,43.69898888
,,,,11.1146824032985,1047.67332034345,787.295268105198,28,25.3683123650142
500,0,0,200,0,1125,613,180,51.04190828
297.16,0,117.54,174.8,9.52,1022.8,753.45,3,21.91154728
181.9,272.8,0,185.7,0,1012.4,714.3,28,27.935499092
254,0,0,198,0,968,863,180,27.62730332
,108.513683869203,,,7.58349865848444,984.389496746236,792.013197981058,75.6579890603364,53.5372659749253
313,145,0,178,8,1002,689,28,41.05140104
203.5,305.3,0,203.5,0,963.4,630,7,19.539060364
330.5,169.6,0,194.9,8.1,811,802.3,28,56.619079644
193.5,290.2,0,185.7,0,998.2,704.3,28,32.626693796
173,116,0,192,0,946.8,856.8,28,24.281965768
135.7,203.5,0,185.7,0,1076.2,759.3,28,18.19871902
525,0,0,189,0,1125,613,180,61.92183956
379.5,151.2,0,153.9,15.9,1134.3,605,3,28.59946448
229.68,0,118.16,195.23,6.13,1028.1,757.63,56,31.35047372
203.5,305.3,0,203.5,0,963.4,630,28,41.684340008
374.3,0,0,190.2,6.7,1013.2,730.4,28,39.056057496
